Species X, Species Y, Species Z
0.487847899,0.744439436,0.554092343
0.486413082,0.741005071,0.548989713
0.485023814,0.737577036,0.54392003
0.483679532,0.734155691,0.538883693
0.482379685,0.730741388,0.533881079
0.481123731,0.727334468,0.52891254
0.479911143,0.723935264,0.523978407
0.478741401,0.720544098,0.519078987
0.477613998,0.717161283,0.514214566
0.476528437,0.713787125,0.509385411
0.475484229,0.71042192,0.504591766
0.474480899,0.707065955,0.499833858
0.473517981,0.703719508,0.495111892
0.472595017,0.70038285,0.490426057
0.471711561,0.697056245,0.485776523
0.470867176,0.693739946,0.481163443
0.470061435,0.690434201,0.476586952
0.469293919,0.68713925,0.472047171
0.46856422,0.683855323,0.467544202
0.467871939,0.680582646,0.463078136
0.467216684,0.677321437,0.458649045
0.466598075,0.674071905,0.45425699
0.466015739,0.670834256,0.449902015
0.46546931,0.667608686,0.445584154
0.464958434,0.664395386,0.441303426
0.464482764,0.66119454,0.437059838
0.464041959,0.658006327,0.432853386
0.463635689,0.654830919,0.428684052
0.463263631,0.651668482,0.42455181
0.462925469,0.648519176,0.420456621
0.462620896,0.645383155,0.416398437
0.462349612,0.64226057,0.412377199
0.462111324,0.639151564,0.408392839
0.461905747,0.636056275,0.40444528
0.461732604,0.632974837,0.400534435
0.461591622,0.629907378,0.39666021
0.461482539,0.626854021,0.392822502
0.461405097,0.623814885,0.389021201
0.461359046,0.620790084,0.385256188
0.461344143,0.617779727,0.381527338
0.461360149,0.614783919,0.377834519
0.461406836,0.611802761,0.374177592
0.461483977,0.608836348,0.370556412
0.461591356,0.605884773,0.366970828
0.461728759,0.602948124,0.363420683
0.461895981,0.600026484,0.359905815
0.462092822,0.597119935,0.356426057
0.462319088,0.594228553,0.352981235
0.462574589,0.591352411,0.349571174
0.462859143,0.588491577,0.346195691
0.463172572,0.585646119,0.3428546
0.463514705,0.582816097,0.339547712
0.463885373,0.580001573,0.336274832
0.464284417,0.577202601,0.333035765
0.464711679,0.574419235,0.329830308
0.465167008,0.571651524,0.326658258
0.465650258,0.568899515,0.323519409
0.466161288,0.566163253,0.32041355
0.466699961,0.563442778,0.31734047
0.467266144,0.56073813,0.314299953
0.467859712,0.558049343,0.311291783
0.468480541,0.555376452,0.30831574
