Species X,Species Y,Species Z
1.907245244,0.334778023,0.403027644
1.912194735,0.337674579,0.406976032
1.917025331,0.340612414,0.410984093
1.921734114,0.343591775,0.415052316
1.926318155,0.3466129,0.419181182
1.930774515,0.349676013,0.423371153
1.935100251,0.352781325,0.427622678
1.939292412,0.355929033,0.431936188
1.943348046,0.359119318,0.436312097
1.9472642,0.362352347,0.440750798
1.951037924,0.365628269,0.445252666
1.95466627,0.368947217,0.449818054
1.958146299,0.372309305,0.45444729
1.961475081,0.375714628,0.459140683
1.964649698,0.379163262,0.463898511
1.967667248,0.38265526,0.468721029
1.970524846,0.386190656,0.473608462
1.973219627,0.389769459,0.478561008
1.975748752,0.393391656,0.483578831
1.978109408,0.397057209,0.488662065
1.980298813,0.400766054,0.49381081
1.982314217,0.404518101,0.49902513
1.984152909,0.408313233,0.504305053
1.985812218,0.412151306,0.509650569
1.987289515,0.416032143,0.515061628
1.988582222,0.41995554,0.520538138
1.98968781,0.42392126,0.526079966
1.990603804,0.427929037,0.531686934
1.991327791,0.431978567,0.537358818
1.991857417,0.436069517,0.543095346
1.992190397,0.440201516,0.5488962
1.992324513,0.444374157,0.554761009
1.992257625,0.448587,0.560689351
1.991987669,0.452839563,0.566680752
1.991512661,0.457131329,0.572734682
1.990830707,0.46146174,0.578850555
1.98994,0.465830198,0.585027729
1.988838827,0.470236067,0.591265502
1.987525573,0.474678665,0.597563112
1.985998724,0.479157273,0.603919737
1.984256874,0.483671126,0.610334491
1.982298721,0.488219417,0.616806426
1.980123081,0.492801295,0.623334528
1.977728883,0.497415865,0.629917718
1.975115178,0.502062188,0.63655485
1.972281139,0.506739278,0.643244712
1.969226067,0.511446105,0.649986023
1.965949393,0.516181595,0.656777433
1.962450682,0.520944626,0.663617522
1.958729633,0.525734031,0.670504802
1.954786087,0.530548597,0.677437714
1.950620025,0.535387067,0.684414627
1.946231573,0.540248137,0.691433842
1.941621004,0.545130456,0.698493589
1.93678874,0.550032633,0.705592024
1.931735353,0.554953226,0.712727238
1.926461568,0.559890755,0.719897249
1.920968265,0.564843693,0.727100007
1.915256479,0.569810471,0.73433339
1.909327402,0.574789478,0.741595214
1.903182381,0.579779062,0.748883222
1.896822925,0.584777531,0.756195095
1.890250697,0.589783153,0.763528448
1.88346752,0.59479416,0.770880833
1.876475377,0.599808745,0.77824974
1.869276405,0.604825068,0.785632599
1.8618729,0.609841253,0.793026782
1.854267312,0.614855394,0.800429605
1.846462247,0.619865552,0.807838329
1.838460461,0.624869761,0.815250165
1.830264864,0.629866028,0.822662272
1.82187851,0.634852332,0.830071765
1.813304602,0.639826634,0.837475714
1.804546484,0.644786868,0.844871146
1.795607641,0.649730954,0.852255054
1.786491695,0.654656793,0.859624392
1.777202397,0.659562273,0.866976083
1.76774363,0.664445267,0.874307024
1.758119401,0.669303642,0.881614085
1.748333836,0.674135256,0.888894113
1.738391178,0.678937963,0.896143941
1.728295779,0.683709615,0.903360385
1.718052095,0.688448063,0.910540253
1.707664685,0.693151164,0.917680343
1.6971382,0.697816779,0.924777456
1.686477381,0.702442777,0.931828388
1.675687051,0.707027039,0.938829947
1.664772108,0.711567461,0.945778946
1.653737523,0.716061953,0.952672214
1.64258833,0.720508446,0.959506596
1.631329621,0.724904893,0.966278961
1.619966537,0.729249269,0.972986202
1.608504268,0.733539579,0.979625242
1.596948036,0.737773856,0.986193038
1.585303101,0.741950165,0.992686585
1.573574741,0.746066605,0.99910292
1.561768256,0.750121314,1.005439125
1.549888957,0.754112466,1.011692329
1.537942158,0.75803828,1.017859718
1.525933172,0.761897015,1.02393853
1.513867302,0.765686977,1.029926065
1.501749839,0.769406522,1.035819686
1.48958605,0.773054052,1.041616822
1.477381176,0.776628023,1.047314969
1.465140424,0.780126942,1.052911698
1.452868962,0.783549373,1.058404654
1.440571912,0.786893933,1.063791559
1.428254345,0.7901593,1.069070216
1.415921277,0.793344209,1.074238508
1.403577662,0.796447454,1.079294405
1.391228387,0.799467894,1.084235961
1.378878267,0.802404445,1.089061321
1.366532044,0.80525609,1.093768716
1.354194377,0.808021872,1.09835647
1.341869841,0.8107009,1.102823001
1.329562924,0.813292348,1.107166818
1.31727802,0.815795452,1.111386525
1.305019431,0.818209518,1.115480821
1.292791357,0.820533911,1.119448501
1.280597898,0.822768066,1.123288456
1.268443051,0.82491148,1.126999672
1.256330706,0.826963718,1.130581232
1.244264643,0.828924404,1.134032315
1.232248534,0.830793233,1.137352196
1.220285936,0.832569956,1.140540245
1.208380296,0.834254394,1.143595925
1.196534945,0.835846424,1.146518795
1.184753096,0.837345988,1.149308506
1.173037848,0.838753087,1.151964801
1.161392184,0.840067781,1.154487513
1.149818969,0.841290189,1.156876565
1.13832095,0.842420487,1.159131968
1.126900758,0.843458908,1.16125382
1.115560908,0.844405737,1.163242301
1.104303798,0.845261315,1.165097678
1.09313171,0.846026033,1.166820295
1.082046814,0.846700336,1.168410579
1.071051164,0.847284714,1.169869031
1.060146704,0.847779707,1.17119623
1.049335265,0.848185902,1.172392826
1.03861857,0.848503927,1.173459541
1.027998234,0.848734457,1.174397165
1.017475765,0.848878207,1.175206555
1.007052569,0.848935931,1.175888631
0.996729948,0.848908421,1.176444375
0.986509103,0.848796507,1.17687483
0.97639114,0.848601054,1.177181093
0.966377064,0.848322957,1.177364317
0.956467792,0.847963147,1.177425707
0.946664146,0.847522581,1.177366518
0.936966859,0.847002247,1.177188052
0.927376579,0.846403159,1.176891655
0.91789387,0.845726356,1.176478716
0.908519211,0.844972899,1.175950666
0.899253006,0.844143872,1.175308969
0.89009558,0.843240381,1.17455513
0.881047183,0.842263549,1.173690682
0.872107996,0.841214515,1.172717193
0.86327813,0.840094437,1.171636256
0.854557626,0.838904486,1.170449493
0.845946467,0.837645844,1.16915855
0.837444569,0.836319709,1.167765092
0.829051791,0.834927285,1.166270808
0.820767936,0.833469788,1.164677404
0.812592751,0.831948439,1.162986599
0.804525933,0.830364468,1.161200131
0.796567129,0.828719109,1.159319746
0.788715936,0.827013599,1.157347203
0.780971911,0.825249181,1.155284268
0.773334564,0.823427096,1.153132715
0.765803367,0.82154859,1.150894324
0.758377752,0.819614906,1.148570876
0.751057116,0.817627285,1.146164157
0.743840822,0.81558697,1.143675953
0.736728199,0.813495196,1.141108047
0.729718548,0.811353198,1.138462223
0.722811139,0.809162205,1.13574026
0.716005218,0.80692344,1.132943932
0.709300005,0.80463812,1.130075007
0.702694697,0.802307456,1.127135248
0.696188469,0.79993265,1.124126408
0.689780479,0.797514898,1.12105023
0.683469864,0.795055384,1.117908448
0.677255746,0.792555286,1.114702785
0.671137231,0.79001577,1.111434952
0.665113411,0.787437991,1.108106646
0.659183366,0.784823095,1.104719551
0.653346167,0.782172216,1.101275337
0.647600872,0.779486476,1.097775659
0.641946533,0.776766984,1.094222154
0.636382191,0.774014839,1.090616445
0.630906886,0.771231123,1.086960137
0.625519648,0.76841691,1.083254818
0.620219505,0.765573256,1.079502058
0.615005482,0.762701207,1.075703406
0.609876601,0.759801792,1.071860397
0.604831882,0.756876028,1.067974542
0.599870345,0.753924917,1.064047334
0.594991011,0.750949447,1.060080248
0.5901929,0.747950591,1.056074736
0.585475037,0.744929306,1.052032231
0.580836445,0.741886538,1.047954145
0.576276153,0.738823213,1.04384187
0.571793193,0.735740246,1.039696774
0.567386602,0.732638536,1.035520207
0.563055419,0.729518966,1.031313497
0.558798692,0.726382405,1.02707795
0.554615471,0.723229707,1.02281485
0.550504815,0.720061709,1.018525461
0.546465788,0.716879235,1.014211025
0.542497463,0.713683094,1.009872761
0.538598917,0.710474079,1.005511869
0.534769238,0.707252969,1.001129526
0.531007521,0.704020526,0.996726888
0.527312867,0.700777501,0.99230509
0.52368439,0.697524627,0.987865244
0.520121209,0.694262624,0.983408442
0.516622453,0.690992198,0.978935757
0.513187262,0.687714038,0.974448238
0.509814784,0.684428821,0.969946914
0.506504176,0.68113721,0.965432794
0.503254606,0.677839852,0.960906867
0.500065251,0.674537383,0.9563701
0.4969353,0.671230423,0.951823441
0.493863949,0.667919579,0.947267818
0.490850407,0.664605444,0.942704139
0.487893891,0.661288599,0.938133293
0.48499363,0.657969611,0.933556147
0.482148864,0.654649034,0.928973553
0.479358841,0.651327409,0.924386341
0.476622822,0.648005264,0.919795324
0.473940077,0.644683117,0.915201295
0.471309887,0.641361471,0.910605029
0.468731543,0.638040817,0.906007285
0.466204348,0.634721634,0.901408802
0.463727613,0.631404391,0.896810302
0.461300663,0.628089544,0.892212489
0.45892283,0.624777537,0.887616051
0.456593458,0.621468804,0.88302166
0.454311902,0.618163767,0.87842997
0.452077525,0.614862837,0.873841618
0.449889703,0.611566414,0.869257226
0.447747821,0.608274889,0.864677401
0.445651273,0.604988641,0.860102732
0.443599465,0.601708039,0.855533796
0.441591813,0.598433442,0.850971152
0.43962774,0.595165199,0.846415345
0.437706682,0.591903651,0.841866906
0.435828084,0.588649127,0.837326351
0.4339914,0.585401947,0.832794183
0.432196094,0.582162423,0.82827089
0.430441639,0.578930857,0.823756946
0.428727519,0.575707544,0.819252813
0.427053224,0.572492766,0.814758939
